Your initials,"Enter space name below e.g. first floor west, the red bean bags or relaxed reading space ",Basic info,Some basic information about the space,Text description of space,Who can use the space?,Type of space,In library,Street address,Floor,Decimal GPS coordinates (lattitude) eg 52.197949,Decimal GPS coordinates (longitude) eg 0.122951,Opening hours ,Access restrictions,Description of access restriction,Disabled access,Website URL,Phone number,Twitter,Facebook page,Disciplined?,Relaxed or informal?,Historic?,Modern?,Inspiring or thought provoking?,Cosy?,Social?,Friendly or welcoming?,Strictly silent,Whispers,Background chatter,Animated discussion,Music playing,Features & facilities,Food & drink allowed,Natural daylight,Attractive views out of the window,Large desks,Free Wifi,No WiFi,Computers,Laptops allowed,Plug sockets,Phone signal,Printers and copiers,Whiteboards,Projector,Outdoor seating,Bookable,Toilets nearby,Close to refreshments,Close to a place to take a break,"If this is a café, restaurant or bar how expensive is it?(1 = cheap, 5 = expensive)",...in private?,...close to others?,...alongside friends?,...in a group?,Tags
ssvp,Baines Wing Café,"Ground floor, Baines Wing, Campus Map ref 58 https://www.leeds.ac.uk/campusmap",Café with indoor and outdoor seating,"Situated between the School of Healthcare and the Great Hall, Baines Wing Café has a large seating area including its own secluded courtyard which is perfect to enjoy the sunny weather.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80745464,-1.553855264,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/baineswing/,,https://twitter.com/GreatFoodLeeds,,,x,,,,x,x,x,,,,x,,,x,x,x,,x,,,x,,x,,,,x,,x,x,,3,,x,x,x,"open, busy, food"
ssvp,Fuse Cafe in Chemical and Process Engineering,"Ground floor Chemical and Process Engineering Building, Campus Map ref 48 https://www.leeds.ac.uk/campusmap",Café with indoor seating,Fuse at The School of Chemical and Process Engineering is a hidden gem located in the Engineering buildings,Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground Mezzanine,53.81015521,-1.55714428,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/fuse/,,https://twitter.com/GreatFoodLeeds,,,x,,x,,x,x,x,,,x,x,,,x,,x,x,x,,,x,x,x,,,,,,x,x,x,3,,x,x,x,"silent, mordern, good coffee"
nzm,Edit Room Café in Edward Boyle Library,Level 9 Edward Boyle Library Campus Map ref 83 https://www.leeds.ac.uk/campusmap,Café with indoor seating,"Situated on the ground floor of the Edward Boyle Library, the cafe provides an eclectic mix of grab and go food and drinks for everyone to enjoy at any time of the day.",Anyone (public),Café,yes,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 9,53.80615604,-1.55472811,"Café open 8.30am-4pm, building open 8am-6pm weekdays",,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/the-edit-room/,,https://twitter.com/GreatFoodLeeds,,,x,,x,,,x,x,,,,x,,,x,x,x,,x,,,x,x,x,,,,x,,x,x,x,3,,x,x,x,"talking , food , calming"
ssvp,Esther Simpson Café in Esther Simpson Building,"Ground floor Esther Simpson Building, Campus Map ref 12 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"Located in the new Esther Simpson building on the edge of Woodhouse Moor, the café is modern and relaxed, serving speciality coffee from Darkwoods.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80655803,-1.559424814,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/esther-simpson-cafe,,https://twitter.com/GreatFoodLeeds,,,x,,x,,x,x,x,,x,x,x,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,4,x,x,x,x,"formal, well maintained, new"
ssvp,Café Maia  in Marjorie and Arnold Ziff Building,"Level 10 Marjorie and Arnold Ziff Building, Campus Map ref 77 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"Café Maia at Ziff is perfect for meetings, to take a break or even to do some work in the computer area.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 10,53.80656907,-1.553827912,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/ziff/,,https://twitter.com/GreatFoodLeeds,,x,x,,,,x,,,,x,x,,,,x,x,,,x,,,x,x,x,,,,,,x,x,x,2,x,x,x,x,"isolated,food,coffee"
ssvp,Costa Parkinson Court in Parkinson Building,"Ground floor Parkinson Building, Campus Map ref 60 https://www.leeds.ac.uk/campusmap",Café with indoor seating,Parkinson Court Café sits in one of the most iconic buildings at the University of Leeds.,Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80776358,-1.552688693,"Café open 8.30am-3pm, building open 8am-6pm weekdays","yes, Parkinson Steps",Access via lift from Woodhouse Lane next to the Parkinson Steps,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/parkinson/,,https://twitter.com/GreatFoodLeeds,,x,,x,,x,x,,x,,x,x,,,,x,x,x,,x,,,x,,x,,,,,,x,x,x,3,x,x,x,,"historic, silent, inspiring"
ssvp,Refectory ,"Ground and mezzanine floor seating in the Refectory, Campus Map ref 29 https://www.leeds.ac.uk/campusmap",Refectory with indoor and outdoor seating,"Located right at the heart of University campus, the contemporary Refectory venue offers a wide range of hot and cold food each day.",Anyone (public),Refectory,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80685681,-1.55657117,Refectory open 8:00amé6:30pm: Sat & Sun 10am-2pm ,no,,yes,https://gfal.leeds.ac.uk/where-to-eat/refectory/,,https://twitter.com/GreatFoodLeeds,,,x,,,,x,x,x,,,,x,,,x,,,x,x,,,x,x,x,,,,,,x,x,x,4,x,x,x,x,"busy, noisy, meal food available"
ssvp,Café Seven  in Worsley Building,"Level 7 Worsley Building, next to Airport Lounge, Campus Map ref 95 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"Located in the Worsley building, Café Sevenéis one of our most popular and vibrant cafés. Recently refurbished the large seating area is a great place to meet with friends.",Anyone (public),Café,yes,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80330122,-1.555752941,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/cafeseven/,,https://twitter.com/GreatFoodLeeds,,,x,,,,,x,x,,,x,x,,,x,,,,x,,,x,x,x,,,,,,x,x,x,3,,x,x,x,"Cafe, warm jacket potatos, coffee available"
ssvp,Loma in Worsley Building,"Level 9 Worsley Building, Campus Map ref 95 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"LOMA is a unique offering on campus serving up specially selected craft coffee, delicious drinks and handcrafted salads and sandwiches.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 9,53.80330122,-1.555752941,"Café open 8.30am-3pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/loma-cafe/,,https://twitter.com/GreatFoodLeeds,,x,x,,x,,x,x,x,,x,x,x,,,x,x,x,,x,,,x,x,x,,,,,,x,x,x,3,x,x,x,,"mordern, coffee, casual"
ssvp,1915 (Sir William Henry Bragg),"Ground floor Sir W H Bragg Building, Campus Map ref 53 https://www.leeds.ac.uk/campusmap",Café with indoor seating,"1915 is based in the Sir William Henry Bragg Building on Woodhouse Lane, its relaxed and informal menu has been carefully created to offer a mix of both classic and on-trend options.",Anyone (public),Café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80910265,-1.553932038,"Café open 8.30am-4pm, building open 8am-6pm weekdays",no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/1915/,,https://twitter.com/GreatFoodLeeds,,,,,x,,x,x,x,,,x,,x,,x,x,x,x,x,,,x,x,x,,,,,,,x,x,3,x,x,x,x,"mordern, music playing, coffee"
ssvp,Hugo in University Square (Outdoor space),Outdoors in University Square https://www.leeds.ac.uk/campusmap,Outdoor Camionette café,"Hugo, the Camionnette Café, is one of the more unique members oféthe Great Food at Leeds team and sells a range of hot drinks, pastries and brownies.",Anyone (public),Outdoor café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80704,-1.55531,Café open 8.30am-4.45pm weekdays,no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/hugo/,,https://twitter.com/GreatFoodLeeds,,,x,,,,,x,x,,,,x,,,x,x,,,x,,,x,,x,,,,x,,,x,x,3,,,x,x,"food truck, pastries, brownies "
ssvp,Toasted in Chancellor's Court (Outdoor space),Outdoors in Chancellor's Court https://www.leeds.ac.uk/campusmap,Outdoor mobile café with parasols,"Outdoor seating and mobile café facilities situated in Chancellor's Court, next to the Roger Stevens Building",Anyone (public),Outdoor café,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80516,-1.55497,,no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/,,https://twitter.com/GreatFoodLeeds,,,x,,,,,x,x,,,,x,,,x,x,x,,x,,,x,,x,,,,x,,,x,x,3,,,x,x,"food truck, water fountain, outdoor"
nzm,Outside the Edward Boyle Library Edit Room café (Outdoor space),Outdoors next to the Edward Boyle Library. ,Outdoor seating,Outdoor seating situated outside the Edward Boyle Library,Anyone (public),Outdoor café,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80618,-1.55431,,,,,https://gfal.leeds.ac.uk/where-to-eat/cafes/,,https://twitter.com/GreatFoodLeeds,,,x,,,,,x,x,,,,x,,,x,x,x,x,x,,,x,,x,,,,x,,x,x,x,,,,x,x,"outdoors, big_area , group work"
nzm,Seminal Communal Areas - Baines Wing - G.28,15 Seat Capacity. Ground Floor Baines Wing. Campus Map Ref 58 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Small study/seminar room space that includes one large desk for group or single  focused study. Acess to whiteboard and plug sockets.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80745464,-1.553855264,8am-5pm(Monday to Friday),no,,yes,https://gfal.leeds.ac.uk/where-to-eat/cafes/,1133437200,,,x,,,,,,x,,,x,,,,,,,,x,x,,,x,x,x,,x,,,,x,,x,,x,,,x,"big_desk , group_study , alone_study"
nzm-Locked,Seminal Communal Areas - Baines Wing - G.16,16 Seat Capacity. Ground Floor Baines Wing. Campus Map Ref 58 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80745464,-1.553855264,,,,,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzm,Seminal Communal Areas - Baines Wing - LG.17,20 Seat Capacity. Lower Ground Floor Baines Wing. Campus Map Ref 58 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Big seminar room with projector and flipable whiteboard.Five windows are allowing plenty of daylight to enter the room and there is acesss to a big projector.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Lower Ground,53.80745464,-1.553855264,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,1133437200,,,x,,,,,,x,x,,,,x,,,,x,,,x,,,x,,x,,x,x,,,,,x,,x,x,,x,"large , projector , windows"
nzm,Seminal Communal Areas - Baines Wing - LG.20,14 Seat Capacity. Lower Ground Floor Baines Wing. Campus Map Ref 58 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Seminar room with flip out tables and chairs in small theater style. ,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Lower Ground,53.80745464,-1.553855264,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,1133437200,,,x,,,,,,,x,,x,,,,,,x,,,x,,,x,,x,,x,x,,,x,,,,x,,x,x,"seminar_room , projector, silent"
nzm-locked,Seminal Communal Areas - Baines Wing - G.37,32 Seat Capacity.Ground Floor Baines Wing. Campus Map Ref 58 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80745464,-1.553855264,,,,,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nzm,Seminal Communal Areas - Michael Sadler Building - B.49,10 Seat Capacity. Basement Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Large communal desk with adjustable height function . Plently of whiteboards available for silent or group study .,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Basement,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,x,,,x,,,x,x,,x,,,,,,,,x,x,,,x,,x,,x,x,,,x,,x,,x,,x,x,"adjustable_desks, big_desk"
nzm,Seminal Communal Areas - Michael Sadler Building - B.37,16 Seat Capacity. Basement Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Large communal desk area surrounded by chairs.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Basement,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,x,x,,,,,x,x,,,,x,,,,,,x,x,,,x,,,,x,x,,,,,x,,x,,x,x,"shared_desk , group_work"
nzm,Seminal Communal Areas - Michael Sadler Building - 1.01,24 Seat Capacity. First Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Study space with nice views and frames on the walls.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,,x,,,x,x,x,x,,x,,,,,,x,x,x,x,,,x,x,x,,x,x,,,x,,,,x,x,,x,"views , projector , calming"
nzm,Seminal Communal Areas - Michael Sadler Building - 1.19,16 Seat Capacity. First Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Chairs and flip out tables as well as access to 3 whiteboards and projector . Perfect for group study .,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,x,x,,,,,,x,,x,,,,,,x,x,,x,,,x,,x,,x,x,,,x,,x,,x,,,x,"group_study , projector"
nzm,Seminal Communal Areas - Michael Sadler Building - 1.37,12 Seat Capacity. First Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Silent study space with chairs and flip out tables .Perfect for studying using multiple whiteboards.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",First Floor,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,x,x,,,,,,x,,x,,,,,,x,,,x,,,x,,x,,x,x,,,x,,,,x,,,x,"whiteboards , group_study , focused_study"
nzm,Seminal Communal Areas - Michael Sadler Building - 2.01,10 Seat Capacity. Second Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Small room on a theater style. High views of Leeds are inspiring a productive study .,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Second Floor,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,,x,,,x,,,x,,x,,,,,,x,,,x,,,x,,x,,x,x,,,x,,,,x,,,x,"private , calming , views"
nzm,Seminal Communal Areas - Michael Sadler Building - 3.40,16 Seat Capacity. Third Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Seminar room available for individual study with great view to university campus.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Third Floor,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,x,x,,,x,,x,x,x,,,,,,,x,x,,x,,,x,,x,x,x,x,,,x,,x,,x,x,,,"views, inspiring"
nzm,Seminal Communal Areas - Michael Sadler Building - LG.17,19 Seat Capacity. Lower Ground Floor Baines Wing. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Seminar room with chairs and flip out tables with big window facing the campus.,Students,Seminal Communal Areas,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Lower Ground,53.80697704,-1.553483796,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,x,,,,x,,,x,,x,,,,,,x,x,,x,,,x,,x,,x,x,,,x,,x,,x,,,x,"window , silent , small"
ssvp,Seminal Communal Areas - Parkinson Building - 2.25,20 Seat Capacity. Second Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Seminar room available for individual study with great view to university campus.,Students,Seminal Communal Areas,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Second Floor,53.80776358,-1.552688693,10am- 7pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,x,,,,,x,,,,x,,,,,x,x,x,x,x,,,x,x,x,,,,,,x,,,,x,x,x,x,"private , calming , views"
ssvp,Seminal Communal Areas - Parkinson Building - 4.20,16 Seat Capacity. Fourth Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Seminar room available for individual study with great view to university campus.,Students,Seminal Communal Areas,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Fourth,53.80776358,-1.552688693,10am- 7pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,x,,,,,x,,,,x,,,,,x,x,x,x,x,,,x,x,x,,,,,,x,,,,x,x,x,x,"private , calming , views"
ssvp,Seminal Communal Areas - Parkinson Building - 4.30,14 Seat Capacity. Fourth Floor Michael Sadler Building. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,Seminal Communal Areas - Open to all,Seminar room available for individual study with great view to university campus.,Students,Seminal Communal Areas,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Fourth,53.80776358,-1.552688693,10am- 7pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,x,,,,,x,,,,x,,,,,x,,x,x,x,,,x,x,x,,,,,,x,,,,x,x,x,x,"private , calming , views"
ssvp,General Seating Areas - Parkinson Building - Parkinson Court South,Ground Floor Parkinson Building. Campus Map Ref 60 https://www.leeds.ac.uk/campusmap,General Seating Area,historic atmosphere with tables and chairs. Occationally  busy but mostly silent. At the entrance of parkinson building ,Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80776358,-1.552688693,10am- 7pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,x,,x,,x,x,,,,,x,,,,x,x,x,,x,,,x,,x,,,,,,,x,x,,,x,x,,"historic, claming, silent"
nzm,General Seating Areas - Michael Sadler Building - Behind Rupert Beckett Lecture Theatre,Rear of Michael Sadler Building from Beech Grove Terrace. Campus Map Ref 78 https://www.leeds.ac.uk/campusmap,General Seating Area,Colorful study area with desks and access to clusters . Relaxed space for studying individually or with a group.,Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80692,-1.55346,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,113343555,,,,x,x,,,x,x,x,,x,,,,,x,x,,,x,,x,x,,x,,,,,,x,,x,,x,,,x,"colorful , relaxed , social"
ssvp,General Seating Areas - Leeds University Union - Foyer,"Ground Floor, Leeds University Union. Campus Map Ref 32 https://www.leeds.ac.uk/campusmap",General Seating Area,Busy study place for people that like working alonside others . Couches with big tables can be used for comfortable group working on a nice environment .Extra couches on the side for anybody that wants to read or take a break .,Anyone (public),General Seating Area,no,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80672801,-1.555811583,"Monday-Friday 8am-11pm, Saturday 10am-11pm, Sunday 12-11pm",no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,,x,,x,,,x,x,,,,x,,,x,x,,,x,,,x,x,x,,,,,,x,x,x,,,x,x,x,"busy,friendly, happening, social"
nzm,General Seating Areas - Worsley Building - Airport Lounge seating (level 7),Level 7 Worsley Building. Campus Map ref 95 https://www.leeds.ac.uk/campusmap,General Seating Area,"Modern colorful big area with comfortable couches and chairs . Vending , cash and cofee machie available as well as water fountain .",Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Level 7,53.80330122,-1.555752941,8am-7pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,1133435663,,,,x,,x,x,x,x,x,,,x,,,,x,,,x,x,,,x,,x,x,,,,,x,x,x,,x,x,x,x,"lounge , modern , cash_mashine"
nzm,General Seating Areas - Chemistry - Chaston Chapman Lounge (room G20),"Ground Floor, Chemistry.  Campus Map Ref 55 https://www.leeds.ac.uk/campusmap",General Seating Area,"Bright green modern lounge located at the Chemistry Building is the perfect place to study , take a break or explore the scientific magazines that are displayed on the selves . The couches and the chairs are very comfortable making the area very welcoming.",Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80843709,-1.553410997,8am-5pm(Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,1133432444,,,,x,,x,x,x,x,x,,,,x,,,x,x,,,x,,,x,x,x,,,,,,x,,,,x,,x,x,"light, couches , lounge"
nzm,General Seating Areas - Electronic and Electrical Engineering - Ground Floor Foyer,Ground Floor Electronic and Electrical Engineering.  Campus Map Ref 51 https://www.leeds.ac.uk/campusmap,General Seating Area,Big bright foyer with couches and circular tables with chairs is a perfect place to take a break or study relaxed alone or in a group .,Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.8094698,-1.554681504,8am -5pm (Monday to Friday),no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,1133432000,,,,x,,x,,x,x,x,,,,x,,,x,x,x,x,x,,,x,,x,,,,,,x,,x,,x,,x,,"bright , modern , couches"
nzm,General Seating Areas - Mechanical Engineering - Second floor seating (room 240),Second Floor Mechanical Engineering.  Campus Map Ref 50 https://www.leeds.ac.uk/campusmap,General Seating Area,Comfortable small studying area with couches and views from big windows.,Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Second Floor,53.80958489,-1.55589859,8am-7pm,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,1133432186,,,,x,,x,x,x,x,x,,x,,,,,x,x,x,x,x,,,x,x,x,x,,,,,x,,,,,,,x,"views, couches , daylight"
nzm,General Seating Areas - Sir William Henry Bragg Building - Ground Floor Breakout Area (Room G.08),"Ground floor Sir W H Bragg Building, Campus Map ref 53 https://www.leeds.ac.uk/campusmap",General Seating Area,"Modern big break out area with café shop near . Social , modern and very comfortable for people to study or even relax .",Anyone (public),General Seating Area,,"University of Leeds Campus, Woodhouse Lane, Leeds LS2 9JT",Ground,53.80910265,-1.553932038,,no,,yes,https://students.leeds.ac.uk/info/10109/study_support/1419/where_to_study_on_campus,,,,,x,,x,x,x,x,x,,,,x,,,x,x,,,x,,,x,x,x,x,,,x,,x,x,x,2,x,x,x,x,"social , modern , couches"
